"as_of_date","days_delinquent_old","days_delinquent_new","new_outstanding_principal_balance","initial_loan_amount","fico","sales_channel__c","type","current_collection_method","term","lender_payoff","average_bank_balance__c","last_cleared_payment_date"
2012-11-01,55,74,18711.73,20000,696,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,12846.84,2012-08-15
2012-11-01,4,16,7855.19,10000,706,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,4751.59,2012-10-29
2012-11-01,38,56,30119.51,33000,571,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,10396.21,3726.06,2012-10-29
2012-11-01,37,56,28064.12,35000,742,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,9972.73,2012-09-17
2012-11-01,11,11,6481.92,25000,659,"Referral","Loan - New Customer","ACH Pull",6,0,2590.48,2012-11-01
2012-11-01,54,73,30000,30000,600,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,3923.58,7763.33,2012-08-15
2012-11-01,38,57,1521.73,6000,675,"FAP: Managed Application Program","Loan - Renewal","ACH Pull",6,0,1141,2012-10-24
2012-11-01,1,7,59105.79,100000,662,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,340080.23,2012-11-01
2012-11-01,5,24,17169.74,20000,522,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,5684.85,2012-10-25
2012-11-01,23,42,8044.34,25000,683,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,5966.89,2012-09-28
2012-11-01,36,36,1570.34,6000,691,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,1732.63,2012-11-01
2012-11-01,1,1,25465.28,40000,719,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",18,0,2573.92,2012-11-01
2012-11-01,2,0,5310.64,15000,555,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,6496.72,2012-11-01
2012-11-01,1,1,15590.04,30000,656,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,1689.4,2012-11-01
2012-11-01,39,39,3515.49,10000,606,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,2804.95,2012-11-01
2012-11-01,7,26,47431.12,55000,688,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,0,9129.17,2012-10-23
2012-11-01,28,47,24471.41,30000,610,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",12,8727.14,9633.58,2012-09-21
2012-11-01,37,52,29442.18,35000,521,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,0,4980.91,2012-11-01
2012-11-01,2,17,14488.07,30000,595,"FAP: Managed Application Program","Loan - New Customer","ACH Pull",6,11028.98,2066.17,2012-10-30
